i,timestamp,t_time,collisions,base_t_time,satellite,sat_r_time
1,7052.41382792375,7053,0,7054,9,7054.76907008986
1,7054.003673134059,7057,0,7058,9,7058.769138944826
4,7053.579139925376,7058,0,7059,9,7059.7691561593065
4,7072.69493828275,7073,0,7074,9,7074.769414411956
3,7068.245498885974,7075,0,7076,9,7076.769448850661
0,7075.202610643546,7076,0,7077,9,7077.7694660704565
1,7058.659921138655,7078,1,7079,9,7079.769500510933
2,7045.816121614317,7087,1,7088,9,7088.7696555076745
2,7061.340953935563,7100,0,7101,9,7101.769879434014
1,7096.225069341216,7105,0,7106,9,7106.7699655727865
4,7095.914171113578,7109,0,7110,9,7110.770034489105
0,7095.509863778598,7110,0,7111,9,7111.77005171892
2,7087.908233757475,7112,0,7113,9,7113.770086179434
0,7119.675361209947,7125,0,7126,9,7126.770310201458
2,7126.811387241734,7127,0,7128,9,7128.7703446707965
3,7130.241095162967,7134,0,7135,9,7135.770465322738
5,7133.9319772873605,7140,0,7141,9,7141.7705687501475
0,7133.899046518558,7144,0,7145,9,7145.770637707628
1,7129.003384084869,7145,0,7146,9,7146.7706549477325
5,7146.031248137369,7154,0,7155,9,7155.770810121877
2,7142.649780537766,7158,0,7159,9,7159.770879095792
4,7160.826397457173,7169,0,7170,9,7170.771068798253
5,7163.433712185158,7175,1,7176,9,7176.771172287269
1,7163.894854067899,7177,0,7178,9,7178.771206785952
3,7150.052876849444,7180,1,7181,9,7181.771258536172
0,7180.855328576253,7188,0,7189,9,7189.771396549642
3,7158.221771410788,7191,0,7192,9,7192.771448309523
4,7182.51784089338,7193,0,7194,9,7194.771482817573
2,7192.114244170978,7196,0,7197,9,7197.771534581842
3,7158.526586878773,7199,0,7200,9,7200.771586348744
2,7192.629544477142,7203,0,7204,9,7204.771655375373
3,7159.463651230193,7207,0,7208,9,7208.771724406679
5,7205.5287699832115,7218,0,7219,9,7219.771914266876
1,7187.818155947178,7221,1,7222,9,7222.771966053063
4,7183.435821971809,7222,1,7223,9,7223.771983315709
3,7170.421893087654,7223,0,7224,9,7224.772000578647
3,7176.368525063074,7227,0,7228,9,7228.772069633318
3,7183.003818782077,7231,0,7232,9,7232.772138692659
5,7225.461338345876,7234,0,7235,9,7235.772190490226
2,7236.169504510283,7240,0,7241,9,7241.772294093238
4,7195.461636725488,7241,1,7242,9,7242.772311361427
1,7198.2855018766295,7249,1,7250,9,7250.772449517432
4,7247.659789694092,7263,1,7264,9,7264.772691335298
